Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.58845e-02,0.151203
-1.58843e-02,0.150672
-1.58842e-02,0.150273
-1.58840e-02,0.14932
-1.58838e-02,0.148688
-1.58837e-02,0.148641
-1.58835e-02,0.148563
-1.58834e-02,0.147563
-1.58832e-02,0.147148
-1.58830e-02,0.147398
-1.58829e-02,0.147438
-1.58827e-02,0.147398
-1.58826e-02,0.147453
-1.58824e-02,0.147281
-1.58822e-02,0.147461
-1.58821e-02,0.147422
-1.58819e-02,0.1475
-1.58818e-02,0.148242
-1.58816e-02,0.148102
-1.58814e-02,0.148102
-1.58813e-02,0.148258
-1.58811e-02,0.1485
-1.58810e-02,0.149102
-1.58808e-02,0.149563
-1.58806e-02,0.150398
-1.58805e-02,0.150914
-1.58803e-02,0.15107
-1.58802e-02,0.151094
-1.58800e-02,0.152
-1.58798e-02,0.152766
-1.58797e-02,0.152852
-1.58795e-02,0.153477
-1.58794e-02,0.153422
-1.58792e-02,0.15318
-1.58790e-02,0.153625
-1.58789e-02,0.154469
-1.58787e-02,0.154445
-1.58786e-02,0.154555
-1.58784e-02,0.155992
-1.58782e-02,0.15607
-1.58781e-02,0.155359
-1.58779e-02,0.155906
-1.58778e-02,0.156656
-1.58776e-02,0.15693
-1.58774e-02,0.157008
-1.58773e-02,0.157453
-1.58771e-02,0.157594
-1.58770e-02,0.158078
-1.58768e-02,0.158469
-1.58766e-02,0.158555
-1.58765e-02,0.159234
-1.58763e-02,0.159367
-1.58762e-02,0.160148
-1.58760e-02,0.160406
-1.58758e-02,0.159852
-1.58757e-02,0.159945
-1.58755e-02,0.159477
-1.58754e-02,0.158516
-1.58752e-02,0.158195
-1.58750e-02,0.158492
-1.58749e-02,0.157805
-1.58747e-02,0.15693
-1.58746e-02,0.156195
-1.58744e-02,0.154953
-1.58742e-02,0.153703
-1.58741e-02,0.153008
-1.58739e-02,0.152156
-1.58738e-02,0.150789
-1.58736e-02,0.149633
-1.58734e-02,0.148992
-1.58733e-02,0.148906
-1.58731e-02,0.148664
-1.58730e-02,0.147758
-1.58728e-02,0.146664
-1.58726e-02,0.145883
-1.58725e-02,0.145469
-1.58723e-02,0.14525
-1.58722e-02,0.144961
-1.58720e-02,0.144945
-1.58718e-02,0.144539
-1.58717e-02,0.14432
-1.58715e-02,0.145047
-1.58714e-02,0.145641
-1.58712e-02,0.145797
-1.58710e-02,0.146367
-1.58709e-02,0.146922
-1.58707e-02,0.146977
-1.58706e-02,0.147414
-1.58704e-02,0.148203
-1.58702e-02,0.148867
-1.58701e-02,0.149805
-1.58699e-02,0.150938
-1.58698e-02,0.152047
-1.58696e-02,0.15282
-1.58694e-02,0.153703
-1.58693e-02,0.155148
-1.58691e-02,0.156203
-1.58690e-02,0.156844
-1.58688e-02,0.158031
-1.58686e-02,0.159508
-1.58685e-02,0.160547
-1.58683e-02,0.161656
-1.58682e-02,0.162773
-1.58680e-02,0.163805
-1.58678e-02,0.165703
-1.58677e-02,0.167219
-1.58675e-02,0.168234
-1.58674e-02,0.169203
-1.58672e-02,0.169734
-1.58670e-02,0.170602
-1.58669e-02,0.171281
